event_id,title,artist_id,artist_name,city,venue,capacity,starts_at,weekday,is_residency,is_paid
ft_evt_0027,La Bodega Improvisa — residencia miércoles,ft_art_004,La Bodega Improvisa,Bogotá,La Bodega del Chiste,220,2026-07-01 20:30:00,miércoles,true,true
ft_evt_0018,Doble Sentido — residencia jueves,ft_art_003,Doble Sentido,Medellín,La Pascasia,220,2026-07-02 20:00:00,jueves,true,true
ft_evt_0001,Mala Hora — residencia viernes,ft_art_001,Mala Hora,Bogotá,Casa E,220,2026-07-03 20:00:00,viernes,true,true
ft_evt_0036,Trasnoche Cali — residencia sábado,ft_art_005,Trasnoche Cali,Cali,Sala Beethoven,180,2026-07-04 20:00:00,sábado,true,true
ft_evt_0010,Micrófono Suelto — residencia martes,ft_art_002,Micrófono Suelto,Bogotá,Ace of Clubs,250,2026-07-07 20:00:00,martes,true,true
ft_evt_0051,Sin Filtro — Sesión Doble,ft_art_006,Sin Filtro,Bogotá,Casa E,1200,2026-07-07 20:00:00,martes,false,true
ft_evt_0028,La Bodega Improvisa — residencia miércoles,ft_art_004,La Bodega Improvisa,Bogotá,La Bodega del Chiste,250,2026-07-08 20:00:00,miércoles,true,true
ft_evt_0059,Los del Fondo — Función Única,ft_art_008,Los del Fondo,Bucaramanga,Teatro Corfescu,450,2026-07-08 21:00:00,miércoles,false,false
ft_evt_0019,Doble Sentido — residencia jueves,ft_art_003,Doble Sentido,Medellín,La Pascasia,250,2026-07-09 20:30:00,jueves,true,true
ft_evt_0053,Cuento Corto — Sesión Doble,ft_art_007,Cuento Corto,Bogotá,Ace of Clubs,600,2026-07-09 20:30:00,jueves,false,true
ft_evt_0002,Mala Hora — residencia viernes,ft_art_001,Mala Hora,Bogotá,Casa E,220,2026-07-10 20:00:00,viernes,true,false
ft_evt_0049,Cuento Corto — Función Única,ft_art_007,Cuento Corto,Medellín,La Pascasia,600,2026-07-10 20:00:00,viernes,false,true
ft_evt_0045,Comedia de Barrio — Show de Temporada,ft_art_011,Comedia de Barrio,Bucaramanga,Teatro Corfescu,250,2026-07-10 21:00:00,viernes,false,false
ft_evt_0037,Trasnoche Cali — residencia sábado,ft_art_005,Trasnoche Cali,Cali,Sala Beethoven,250,2026-07-11 20:30:00,sábado,true,false
ft_evt_0047,Segunda Función — Sesión Doble,ft_art_012,Segunda Función,Pereira,Teatro Santiago Londoño,450,2026-07-14 19:30:00,martes,false,true
ft_evt_0011,Micrófono Suelto — residencia martes,ft_art_002,Micrófono Suelto,Bogotá,Ace of Clubs,180,2026-07-14 20:00:00,martes,true,true
ft_evt_0029,La Bodega Improvisa — residencia miércoles,ft_art_004,La Bodega Improvisa,Bogotá,La Bodega del Chiste,220,2026-07-15 20:30:00,miércoles,true,true
ft_evt_0020,Doble Sentido — residencia jueves,ft_art_003,Doble Sentido,Medellín,La Pascasia,180,2026-07-16 20:00:00,jueves,true,true
ft_evt_0003,Mala Hora — residencia viernes,ft_art_001,Mala Hora,Bogotá,Casa E,150,2026-07-17 20:30:00,viernes,true,true
ft_evt_0038,Trasnoche Cali — residencia sábado,ft_art_005,Trasnoche Cali,Cali,Sala Beethoven,220,2026-07-18 20:00:00,sábado,true,true
ft_evt_0055,El Recreo — Sesión Doble,ft_art_013,El Recreo,Cartagena,Teatro Adolfo Mejía,600,2026-07-20 19:30:00,lunes,false,true
ft_evt_0012,Micrófono Suelto — residencia martes,ft_art_002,Micrófono Suelto,Bogotá,Ace of Clubs,220,2026-07-21 20:30:00,martes,true,true
ft_evt_0030,La Bodega Improvisa — residencia miércoles,ft_art_004,La Bodega Improvisa,Bogotá,La Bodega del Chiste,250,2026-07-22 20:00:00,miércoles,true,true
ft_evt_0021,Doble Sentido — residencia jueves,ft_art_003,Doble Sentido,Medellín,La Pascasia,120,2026-07-23 20:00:00,jueves,true,true
ft_evt_0004,Mala Hora — residencia viernes,ft_art_001,Mala Hora,Bogotá,Casa E,180,2026-07-24 20:30:00,viernes,true,false
ft_evt_0061,Comedia de Barrio — Función Única,ft_art_011,Comedia de Barrio,Bucaramanga,Teatro Corfescu,1200,2026-07-24 20:30:00,viernes,false,true
ft_evt_0039,Trasnoche Cali — residencia sábado,ft_art_005,Trasnoche Cali,Cali,Sala Beethoven,120,2026-07-25 20:00:00,sábado,true,true
ft_evt_0057,Tres Sillas — Cierre de Gira,ft_art_010,Tres Sillas,Barranquilla,Teatro Amira de la Rosa,320,2026-07-26 20:00:00,domingo,false,true
ft_evt_0013,Micrófono Suelto — residencia martes,ft_art_002,Micrófono Suelto,Bogotá,Ace of Clubs,120,2026-07-28 20:00:00,martes,true,true
ft_evt_0031,La Bodega Improvisa — residencia miércoles,ft_art_004,La Bodega Improvisa,Bogotá,La Bodega del Chiste,150,2026-07-29 20:30:00,miércoles,true,true
